iter	Passed	Remaining
656	7668	50691
657	7679	50678
658	7692	50671
659	7703	50659
660	7714	50639
661	7724	50616
662	7735	50603
663	7747	50592
664	7760	50586
665	7771	50576
666	7782	50556
667	7793	50541
668	7804	50525
669	7816	50517
670	7828	50508
671	7839	50492
672	7853	50493
673	7868	50500
674	7883	50512
675	7899	50527
676	7912	50526
677	7925	50521
678	7937	50515
679	7952	50523
680	7966	50526
681	7980	50528
682	7994	50528
683	8007	50526
684	8020	50522
685	8034	50524
686	8047	50520
687	8061	50523
688	8076	50532
689	8089	50529
690	8100	50511
691	8110	50493
692	8121	50475
693	8132	50456
694	8142	50438
695	8154	50429
696	8165	50411
697	8176	50392
698	8185	50367
699	8196	50349
700	8206	50325
701	8217	50310
702	8227	50286
703	8238	50272
704	8249	50257
705	8259	50238
706	8271	50225
707	8281	50204
708	8292	50188
709	8303	50171
710	8313	50151
711	8325	50138
712	8335	50121
713	8346	50104
714	8358	50090
715	8367	50066
716	8377	50045
717	8389	50030
718	8399	50013
719	8411	50002
720	8423	49989
721	8432	49963
722	8443	49947
723	8454	49930
724	8464	49913
725	8474	49887
726	8484	49868
727	8495	49850
728	8505	49830
729	8515	49810
730	8526	49793
731	8536	49773
732	8547	49756
733	8558	49739
734	8569	49724
735	8580	49710
736	8590	49688
737	8601	49671
738	8612	49658
739	8625	49652
740	8636	49636
741	8647	49623
742	8659	49616
743	8671	49607
744	8683	49594
745	8695	49588
746	8708	49582
747	8720	49572
748	8732	49562
749	8744	49549
750	8756	49543
751	8768	49533
752	8781	49526
753	8793	49518
754	8805	49510
755	8817	49499
756	8829	49487
757	8840	49471
758	8850	49455
759	8862	49440
760	8873	49428
761	8884	49414
762	8895	49397
763	8906	49383
764	8917	49367
765	8927	49344
766	8938	49330
767	8949	49313
768	8960	49297
769	8970	49277
770	8980	49259
771	8991	49244
772	9003	49233
773	9014	49220
774	9025	49202
775	9036	49189
776	9048	49177
777	9059	49163
778	9071	49155
779	9082	49141
780	9094	49126
781	9106	49119
782	9118	49108
783	9130	49097
784	9143	49096
785	9155	49087
786	9169	49087
787	9182	49079
788	9195	49077
789	9209	49078
790	9223	49077
791	9234	49064
792	9245	49050
793	9256	49035
794	9267	49017
795	9278	49003
796	9289	48985
797	9299	48970
798	9311	48956
799	9321	48937
800	9331	48918
801	9340	48892
802	9352	48879
803	9363	48865
804	9374	48851
805	9385	48839
806	9397	48825
807	9408	48814
808	9420	48801
809	9432	48791
810	9444	48783
811	9457	48778
812	9468	48765
813	9480	48755
814	9492	48746
815	9505	48736
816	9518	48734
817	9531	48731
818	9544	48723
819	9559	48730
820	9572	48725
821	9588	48736
822	9602	48735
823	9616	48737
824	9628	48727
825	9640	48713
826	9652	48704
827	9665	48700
828	9677	48691
829	9688	48677
830	9700	48665
831	9712	48654
832	9723	48640
833	9734	48624
834	9744	48607
835	9755	48588
836	9766	48574
837	9778	48565
838	9789	48551
839	9800	48538
840	9812	48526
841	9824	48514
842	9835	48499
843	9845	48482
844	9857	48471
845	9868	48456
846	9880	48446
847	9890	48426
848	9902	48416
849	9914	48407
850	9927	48401
